listing_id,id,date,reviewer_id,reviewer_name,comments
1159564,6502395,2013-08-14,7776893,Aaron,"Roberta was a great hostess who provided all the amenities listed and then some. She made us feel comfortable and maintained our privacy, although we did hang out on the porch a few times, and shared dinner. Her two dogs were very friendly and that made us feel at home too. We recommend anyone to stay at Roberta's when in Salem. We couldn't have beaten the value."
1159564,6928737,2013-08-30,143866,Inge,I had a very nice stay with Roberta. The room and bed were comfortable. The house was lovely and in a quiet neighborhood. There is a pretty garden with fruit trees. The plums were the best ever and I could take as many as I wanted. I would stay here again.
2894591,14254207,2014-06-15,315272,Elaine,"Sue was a very welcoming and went to great lengths to make my stay comfortable. There were some ""hotel""-like touches that she had prepared ahead of of time, like mini toiletries in the bathroom, and water and chocolate on the nightstand. She'd even thoughtfully purchased some items for breakfast, knowing that I would be leaving early the next day.

The house is located in a quiet neighborhood about a mile away from a commercial area where where a number of stores/restaurants are located. I did not hear any traffic/dogs barking/etc and the bed was very comfortable."
2894591,14302027,2014-06-16,6182515,Herb'S Daughter,"Sue was a very great hostess!  The house was beautiful and immaculate!  She provided all sorts of thoughtful touches and even imported soap and shampoo like a regular bed and breakfast.  The home is in a very quiet part of Salem and backs onto a lush greenway. 

She was very available and provided an excellent dinner recommendation. 
The bed was incredibly soft.  We'd go there again."
2894591,15009379,2014-06-30,3516319,Seth,"Sue is a great host and has a lovely clean, quiet home that I enjoyed visiting. You'll be staying in a very comfortable room with your own shower across the hall.  Sue made me a lovely breakfast to send me on my way the next morning. She gets my highest recommendation. "
2894591,15547706,2014-07-11,437925,Tiffany,"Sue was a kind, generous, and welcoming host, and the guest bedroom provided for us was an extension of her hospitality. Her home was immaculate and inviting, and as other Airbnb guests have stated, sprinkled with amenities such as complimentary water bottles, truffles, and use of nice toiletries. Sue allowed us to bring our dog and made the extra effort to ensure there would be no confrontations between our dog and her cats! Sue offered us a plethora of breakfast options and sent us on the road with a box of delicious breakfast pastries from a local bakery; morning conversation rounded out a wonderful experience for us. We can't recommend her highly enough!"
2894591,15741775,2014-07-14,16914477,Chris,"Great experience here. Accommodations were clean and comfortable. Sues attention to details like wrapped soap, water bottle, and a clean folded set of towels is reflective of her hospitality. "
2894591,16123017,2014-07-22,6483814,Jerry,"Sue was a most gracious host and made efforts above and beyond the call to make our stay as comfortable as possible. We had some lovely conversations and enjoyed the peaceful neighborhood. I highly recommend her to everyone.

Thanks, Sue and we hope your kitty's leg is well on the mend.

Jerry Mader"
2894591,16535132,2014-07-28,18886018,Geoffrey,"Wonderful room in a cozy house. Sue was a great host, I enjoyed my brief stay tremendously. Highly recommend."
2894591,16647477,2014-07-30,16758662,Kayl,"I stayed at Sue's BnB on more than one occasion. The home checked off well as a place for me to stay. Meals were well cooked, nice big screen tv with hbo, computer for use, clean bathroom (she provided a soap bar), and comfortable room (even during hot month of july). The home is a quiet neighborhood, near a delightful park in the hills. What was most appreciated was the fact that Sue was so inviting. She let me put my bike in her garage, and gave me a garage opener. My only critique would be there is no wi-fi (she mentioned she might get wifi there soon). "
2894591,16749388,2014-08-01,11134176,Steven,"Great stay at Sue's house. Wonderful bed, beautiful bathroom. Fresh fruit on my cereal and a nice big cup of coffee. We had a great chat as well. Thanks, Sue!"
2894591,16925867,2014-08-04,18020318,Cheryl,"Sue is a lovely, warm and welcoming hostess with a beautiful home in the woods.  Great setting.  Everything is neat and clean and she made us feel right at home.  She was most helpful in getting our things out of the fridge and freezer when we left in the early am to be on time for an event in Albany.  The pastries were yummy.  Regretted we could not stay longer.  Thanks Sue!"
